025-01-20 00:20:47,005 - doc_processing_api - INFO - Incoming request: POST http://localhost:8001/api/v1/cv/analyze
2025-01-20 01:09:25,633 - doc_processing_api - INFO - Incoming request: POST http://localhost:8000/api/v1/cv/analyze
2025-01-20 01:09:25,633 - doc_processing_api - INFO - Incoming request: POST http://localhost:8000/api/v1/cv/analyze
2025-01-20 01:09:31,379 - doc_processing_api - INFO - Request completed: POST http://localhost:8000/api/v1/cv/analyze - Status: 400
2025-01-20 01:09:31,379 - doc_processing_api - INFO - Request completed: POST http://localhost:8000/api/v1/cv/analyze - Status: 400
2025-01-20 01:09:31,379 - doc_processing_api - INFO - Request completed: POST http://localhost:8000/api/v1/cv/analyze - Status: 400
2025-01-20 01:11:40,420 - doc_processing_api - INFO - Incoming request: POST http://localhost:8000/api/v1/cv/analyze
2025-01-20 01:11:40,420 - doc_processing_api - INFO - Incoming request: POST http://localhost:8000/api/v1/cv/analyze
2025-01-20 01:11:40,420 - doc_processing_api - INFO - Incoming request: POST http://localhost:8000/api/v1/cv/analyze
2025-01-20 01:11:44,920 - doc_processing_api - INFO - Request completed: POST http://localhost:8000/api/v1/cv/analyze - Status: 200
2025-01-20 01:11:44,920 - doc_processing_api - INFO - Request completed: POST http://localhost:8000/api/v1/cv/analyze - Status: 200
2025-01-20 01:11:44,920 - doc_processing_api - INFO - Request completed: POST http://localhost:8000/api/v1/cv/analyze - Status: 200
2025-01-20 01:12:21,042 - doc_processing_api - INFO - Incoming request: POST http://localhost:8000/api/v1/cv/analyze
2025-01-20 01:12:21,042 - doc_processing_api - INFO - Incoming request: POST http://localhost:8000/api/v1/cv/analyze
2025-01-20 01:12:21,042 - doc_processing_api - INFO - Incoming request: POST http://localhost:8000/api/v1/cv/analyze
2025-01-20 01:12:21,051 - doc_processing_api - INFO - Request completed: POST http://localhost:8000/api/v1/cv/analyze - Status: 400
2025-01-20 01:12:21,051 - doc_processing_api - INFO - Request completed: POST http://localhost:8000/api/v1/cv/analyze - Status: 400
2025-01-20 01:12:21,051 - doc_processing_api - INFO - Request completed: POST http://localhost:8000/api/v1/cv/analyze - Status: 400
2025-01-20 01:13:03,753 - doc_processing_api - INFO - Incoming request: POST http://localhost:8000/api/v1/cv/analyze
2025-01-20 01:13:03,753 - doc_processing_api - INFO - Incoming request: POST http://localhost:8000/api/v1/cv/analyze
2025-01-20 01:13:03,753 - doc_processing_api - INFO - Incoming request: POST http://localhost:8000/api/v1/cv/analyze
2025-01-20 01:13:07,848 - doc_processing_api - INFO - Request completed: POST http://localhost:8000/api/v1/cv/analyze - Status: 200
2025-01-20 01:13:07,848 - doc_processing_api - INFO - Request completed: POST http://localhost:8000/api/v1/cv/analyze - Status: 200
2025-01-20 01:13:07,848 - doc_processing_api - INFO - Request completed: POST http://localhost:8000/api/v1/cv/analyze - Status: 200
2025-01-20 01:13:31,690 - doc_processing_api - INFO - Incoming request: POST http://localhost:8000/api/v1/cv/analyze
2025-01-20 01:13:31,690 - doc_processing_api - INFO - Incoming request: POST http://localhost:8000/api/v1/cv/analyze
